dataset,train_loss,train_acc,val_loss,val_acc,time_elapsed_sec,total_time_elapsed_sec,model_index,arch_hidden_layers,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_batch_size,arch_random_seed
Vehicle,1.3804550170898438,0.2833333333333333,1.3778605461120605,0.36764705882352944,0.5986611843109131,18.036270141601562,12,"[211, 341, 307]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0010159071574823491,1024,42
Vehicle,0.3575672933348903,0.8222222222222222,0.59759920835495,0.7647058823529411,0.8374130725860596,18.875187635421753,13,"[62, 89, 324, 29, 445, 340, 482]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0028991146086820834,512,13
Vehicle,1.4738532304763794,0.24259259259259258,1.3848673105239868,0.33088235294117646,0.31479477882385254,19.193751573562622,14,"[480, 500, 71, 485, 262, 159]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.sgd.SGD'>,0.009729377698772877,1024,1337
Vehicle,0.5423468929749948,0.6981481481481482,0.8329567909240723,0.7794117647058824,0.5852363109588623,19.782878160476685,15,"[258, 94, 468, 158, 40, 385]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.009234516949100807,256,777
Vehicle,0.8770078332335861,0.7,0.926101986099692,0.6397058823529411,1.2413361072540283,21.026957988739014,16,"[313, 359]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.008725361938161832,128,2024
Vehicle,1.3874352755369963,0.22592592592592592,1.3838582038879395,0.38235294117647056,0.9300460815429688,21.959004640579224,17,"[447, 287, 436, 382, 480, 403]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.0016855146882669082,512,2024
Vehicle,0.19310741126537323,0.9166666666666666,0.7583375573158264,0.8088235294117647,0.46503686904907227,22.429052352905273,18,"[239, 162, 39]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.007434330073794484,1024,13
Vehicle,0.26342635022269356,0.8759259259259259,0.6355014443397522,0.7941176470588235,0.6198279857635498,23.049879789352417,19,"[297, 92, 187]",<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.00359581567031188,512,13
Vehicle,1.5017769937162047,0.2518518518518518,1.3796813488006592,0.33088235294117646,0.351104736328125,23.401681184768677,20,"[104, 262, 480, 417, 37]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.009990758430844134,512,2024
Vehicle,0.20674564120946107,0.937037037037037,0.744724477038664,0.8308823529411765,2.019699811935425,25.424381494522095,21,"[68, 168, 250]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.006531735101398579,64,2024
